Recommendation_Date,Rank,StockID,StockName,Industry,AI_Score,Entry_Close,Status,Elapsed_Trading_Days,Target_Date,Exit_Close,Actual_Return_5D,Weight,Contribution_Return,Completed_Date
2026-08-18,82,3189,景碩,ABF／IC載板,49.58,865.0,已完成,5,2026-08-25,835.0,-0.0346820809248554,0.1,-0.0034682080924855,2026-08-25
2026-08-19,1,6442,光聖,光通訊,80.03,1530.0,已完成,5,2026-08-26,1610.0,0.0522875816993464,0.1,0.0052287581699346,2026-08-26
2026-08-19,2,2327,國巨,被動元件,78.88,576.0,已完成,5,2026-08-26,537.0,-0.0677083333333333,0.1,-0.0067708333333333,2026-08-26
2026-08-19,3,5340,建榮,玻纖布,77.04,75.80000305175781,已完成,5,2026-08-26,80.80000305175781,0.0659630580302996,0.1,0.0065963058030299,2026-08-26
2026-08-19,4,6683,雍智科技,探針／測試介面,74.28,1190.0,已完成,5,2026-08-26,1135.0,-0.0462184873949579,0.1,-0.0046218487394957,2026-08-26
2026-08-19,5,3131,弘塑,CoWoS,74.05,2355.0,已完成,5,2026-08-26,2485.0,0.0552016985138004,0.1,0.00552016985138,2026-08-26
2026-08-19,6,6274,台燿,CCL,73.74,1500.0,已完成,5,2026-08-26,1530.0,0.02,0.1,0.002,2026-08-26
2026-08-19,7,6213,聯茂,CCL,73.41,484.0,已完成,5,2026-08-26,583.0,0.2045454545454545,0.1,0.0204545454545454,2026-08-26
2026-08-19,8,3211,順達,BBU,73.1,369.0,已完成,5,2026-08-26,364.0,-0.0135501355013549,0.1,-0.0013550135501354,2026-08-26
2026-08-19,9,4958,臻鼎-KY,ABF／IC載板,72.45,457.0,已完成,5,2026-08-26,453.0,-0.0087527352297592,0.1,-0.0008752735229759,2026-08-26
2026-08-19,10,5498,凱崴,玻纖布,72.12,49.20000076293945,已完成,5,2026-08-26,54.59999847412109,0.1097560493383011,0.1,0.0109756049338301,2026-08-26
2026-08-20,1,6442,光聖,光通訊,76.46,1555.0,已完成,5,2026-08-27,1595.0,0.0257234726688102,0.1,0.002572347266881,2026-08-27
2026-08-20,2,2492,華新科,被動元件,76.21,272.5,已完成,5,2026-08-27,285.0,0.0458715596330274,0.1,0.0045871559633027,2026-08-27
2026-08-20,3,3211,順達,BBU,73.28,355.0,已完成,5,2026-08-27,397.5,0.1197183098591549,0.1,0.0119718309859155,2026-08-27
2026-08-20,4,3535,晶彩科,CoPoS,72.87,88.0,已完成,5,2026-08-27,89.5,0.0170454545454545,0.1,0.0017045454545454,2026-08-27
2026-08-20,5,3675,德微,功率元件,72.16,269.0,已完成,5,2026-08-27,278.5,0.0353159851301114,0.1,0.0035315985130111,2026-08-27
2026-08-20,6,3131,弘塑,CoWoS,71.94,2320.0,已完成,5,2026-08-27,2490.0,0.0732758620689655,0.1,0.0073275862068965,2026-08-27
2026-08-20,7,4908,前鼎,光通訊,71.82,154.0,已完成,5,2026-08-27,195.5,0.2694805194805194,0.1,0.0269480519480519,2026-08-27
2026-08-20,8,4977,眾達-KY,光通訊,71.6,156.5,已完成,5,2026-08-27,171.5,0.095846645367412,0.1,0.0095846645367412,2026-08-27
2026-08-20,9,5340,建榮,玻纖布,70.16,78.19999694824219,已完成,5,2026-08-27,82.4000015258789,0.0537085005312283,0.1,0.0053708500531228,2026-08-27
2026-08-20,10,5498,凱崴,玻纖布,69.77,50.70000076293945,已完成,5,2026-08-27,53.29999923706055,0.0512820204141226,0.1,0.0051282020414122,2026-08-27
2026-08-21,1,5475,德宏,玻纖布,75.95,174.5,已完成,5,2026-08-28,201.0,0.151862464183381,0.1,0.0151862464183381,2026-08-28
2026-08-21,2,2492,華新科,被動元件,75.38,266.0,已完成,5,2026-08-28,313.5,0.1785714285714286,0.1,0.0178571428571428,2026-08-28
2026-08-21,3,3026,禾伸堂,被動元件,75.25,639.0,已完成,5,2026-08-28,742.0,0.161189358372457,0.1,0.0161189358372457,2026-08-28
2026-08-21,4,6442,光聖,光通訊,73.85,1525.0,已完成,5,2026-08-28,1615.0,0.0590163934426228,0.1,0.0059016393442622,2026-08-28
2026-08-21,5,6274,台燿,CCL,73.52,1495.0,已完成,5,2026-08-28,1490.0,-0.0033444816053511,0.1,-0.0003344481605351,2026-08-28
2026-08-21,6,2327,國巨,被動元件,73.45,554.0,已完成,5,2026-08-28,597.0,0.0776173285198555,0.1,0.0077617328519855,2026-08-28
2026-08-21,7,3044,健鼎,ABF／IC載板,71.21,459.0,已完成,5,2026-08-28,490.0,0.0675381263616556,0.1,0.0067538126361655,2026-08-28
2026-08-21,8,3131,弘塑,CoWoS,69.66,2310.0,已完成,5,2026-08-28,2485.0,0.0757575757575756,0.1,0.0075757575757575,2026-08-28
2026-08-21,9,3535,晶彩科,CoPoS,68.86,86.80000305175781,已完成,5,2026-08-28,90.1999969482422,0.0391704352182684,0.1,0.0039170435218268,2026-08-28
2026-08-21,10,3406,玉晶光,FAU,68.64,652.0,已完成,5,2026-08-28,917.0,0.406441717791411,0.1,0.0406441717791411,2026-08-28
2026-08-24,1,5475,德宏,玻纖布,86.62,159.5,已完成,5,2026-08-31,204.5,0.2821316614420062,0.1,0.0282131661442006,2026-08-31
2026-08-24,2,2492,華新科,被動元件,76.11,265.0,已完成,5,2026-08-31,295.0,0.1132075471698113,0.1,0.0113207547169811,2026-08-31
2026-08-24,3,3624,光頡,被動元件,76.01,86.0999984741211,已完成,5,2026-08-31,88.30000305175781,0.0255517377076142,0.1,0.0025551737707614,2026-08-31
2026-08-24,4,6173,信昌電,被動元件,74.97,203.0,已完成,5,2026-08-31,246.0,0.2118226600985222,0.1,0.0211822660098522,2026-08-31
2026-08-24,5,3026,禾伸堂,被動元件,72.84,643.0,已完成,5,2026-08-31,742.0,0.1539657853810263,0.1,0.0153965785381026,2026-08-31
2026-08-24,6,3044,健鼎,ABF／IC載板,71.8,450.0,已完成,5,2026-08-31,496.5,0.1033333333333332,0.1,0.0103333333333333,2026-08-31
2026-08-24,7,3131,弘塑,CoWoS,69.69,2335.0,已完成,5,2026-08-31,2410.0,0.032119914346895,0.1,0.0032119914346895,2026-08-31
2026-08-24,8,3675,德微,功率元件,69.61,265.0,已完成,5,2026-08-31,272.5,0.0283018867924529,0.1,0.0028301886792452,2026-08-31
2026-08-24,9,6442,光聖,光通訊,69.33,1460.0,已完成,5,2026-08-31,1630.0,0.1164383561643835,0.1,0.0116438356164383,2026-08-31
2026-08-24,10,3167,大量,CoPoS,68.89,665.0,已完成,5,2026-08-31,794.0,0.193984962406015,0.1,0.0193984962406015,2026-08-31
2026-08-27,1,6515,穎崴,探針／測試介面,78.91,6105.0,已完成,5,2026-09-03,7000.0,0.1466011466011465,0.1,0.0146601146601146,2026-09-03
2026-08-27,2,2327,國巨,被動元件,70.02,555.0,已完成,5,2026-09-03,511.0,-0.0792792792792792,0.1,-0.0079279279279279,2026-09-03
2026-08-27,3,3535,晶彩科,CoPoS,69.55,89.5,已完成,5,2026-09-03,85.5,-0.0446927374301675,0.1,-0.0044692737430167,2026-09-03
2026-08-27,4,3675,德微,功率元件,68.07,278.5,已完成,5,2026-09-03,277.0,-0.0053859964093356,0.1,-0.0005385996409335,2026-09-03
2026-08-27,5,6435,大中,功率元件,67.34,263.5,已完成,5,2026-09-03,237.0,-0.1005692599620493,0.1,-0.0100569259962049,2026-09-03
2026-08-27,6,6282,康舒,HVDC設備,66.37,45.150001525878906,已完成,5,2026-09-03,43.20000076293945,-0.0431893842090295,0.1,-0.0043189384209029,2026-09-03
2026-08-27,7,4958,臻鼎-KY,ABF／IC載板,65.12,477.0,已完成,5,2026-09-03,464.0,-0.0272536687631027,0.1,-0.0027253668763102,2026-09-03
2026-08-27,8,2449,京元電子,先進封裝,64.95,247.5,已完成,5,2026-09-03,261.0,0.0545454545454544,0.1,0.0054545454545454,2026-09-03
2026-08-27,9,6239,力成,先進封裝,64.78,277.0,已完成,5,2026-09-03,275.0,-0.0072202166064981,0.1,-0.0007220216606498,2026-09-03
2026-08-27,10,6510,精測,探針／測試介面,64.0,2740.0,已完成,5,2026-09-03,3350.0,0.2226277372262772,0.1,0.0222627737226277,2026-09-03
2026-08-31,1,3624,光頡,被動元件,72.66,88.30000305175781,已完成,5,2026-09-07,96.9000015258789,0.0973952228413868,0.1,0.0097395222841386,2026-09-07
2026-08-31,2,3037,欣興,ABF／IC載板,72.52,999.0,已完成,5,2026-09-07,949.0,-0.05005005005005,0.1,-0.005005005005005,2026-09-07
2026-08-31,3,3675,德微,功率元件,65.13,272.5,已完成,5,2026-09-07,282.0,0.0348623853211009,0.1,0.00348623853211,2026-09-07
2026-08-31,4,2455,全新,CPO,64.15,477.0,已完成,5,2026-09-07,500.0,0.0482180293501048,0.1,0.0048218029350104,2026-09-07
2026-08-31,5,3406,玉晶光,FAU,63.0,1005.0,已完成,5,2026-09-07,987.0,-0.0179104477611939,0.1,-0.0017910447761193,2026-09-07
2026-08-31,6,8261,富鼎,功率元件,62.8,178.5,已完成,5,2026-09-07,181.0,0.0140056022408963,0.1,0.0014005602240896,2026-09-07
2026-08-31,7,2327,國巨,被動元件,61.96,545.0,已完成,5,2026-09-07,589.0,0.0807339449541284,0.1,0.0080733944954128,2026-09-07
2026-08-31,8,2492,華新科,被動元件,61.44,295.0,已完成,5,2026-09-07,323.0,0.0949152542372882,0.1,0.0094915254237288,2026-09-07
2026-08-31,9,6239,力成,先進封裝,61.26,277.0,已完成,5,2026-09-07,280.0,0.0108303249097472,0.1,0.0010830324909747,2026-09-07
2026-08-31,10,6274,台燿,CCL,59.42,1435.0,已完成,5,2026-09-07,1370.0,-0.0452961672473867,0.1,-0.0045296167247386,2026-09-07
2026-09-01,1,3624,光頡,被動元件,72.51,90.1999969482422,已完成,5,2026-09-08,96.5999984741211,0.0709534561242977,0.1,0.0070953456124297,2026-09-08
2026-09-01,2,3675,德微,功率元件,63.95,278.5,已完成,5,2026-09-08,274.0,-0.0161579892280071,0.1,-0.0016157989228007,2026-09-08
2026-09-01,3,2351,順德,導線架,63.88,226.0,已完成,5,2026-09-08,227.5,0.0066371681415928,0.1,0.0006637168141592,2026-09-08
2026-09-01,4,3680,家登,CoPoS,63.0,542.0,已完成,5,2026-09-08,521.0,-0.0387453874538745,0.1,-0.0038745387453874,2026-09-08
2026-09-01,5,3037,欣興,ABF／IC載板,62.47,971.0,已完成,5,2026-09-08,954.0,-0.0175077239958805,0.1,-0.001750772399588,2026-09-08
2026-09-01,6,8261,富鼎,功率元件,62.4,182.0,已完成,5,2026-09-08,170.5,-0.0631868131868131,0.1,-0.0063186813186813,2026-09-08
2026-09-01,7,4979,華星光,光通訊,62.22,600.0,已完成,5,2026-09-08,605.0,0.0083333333333333,0.1,0.0008333333333333,2026-09-08
2026-09-01,8,6515,穎崴,探針／測試介面,61.7,6910.0,已完成,5,2026-09-08,7700.0,0.114327062228654,0.1,0.0114327062228654,2026-09-08
2026-09-01,9,3008,大立光,FAU,61.05,7580.0,已完成,5,2026-09-08,6500.0,-0.1424802110817942,0.1,-0.0142480211081794,2026-09-08
2026-09-01,10,2455,全新,CPO,60.84,524.0,已完成,5,2026-09-08,515.0,-0.0171755725190839,0.1,-0.0017175572519083,2026-09-08
2026-09-02,1,5475,德宏,玻纖布,77.11,190.0,已完成,5,2026-09-09,193.0,0.0157894736842105,0.1,0.001578947368421,2026-09-09
2026-09-02,2,2492,華新科,被動元件,75.35,293.0,已完成,5,2026-09-09,319.5,0.0904436860068258,0.1,0.0090443686006825,2026-09-09
2026-09-02,3,3624,光頡,被動元件,73.62,89.0,已完成,5,2026-09-09,103.5,0.1629213483146068,0.1,0.0162921348314606,2026-09-09
2026-09-02,4,3026,禾伸堂,被動元件,66.86,686.0,已完成,5,2026-09-09,758.0,0.1049562682215743,0.1,0.0104956268221574,2026-09-09
2026-09-02,5,2481,強茂,功率元件,65.22,148.0,已完成,5,2026-09-09,152.0,0.0270270270270269,0.1,0.0027027027027026,2026-09-09
2026-09-02,6,2327,國巨,被動元件,64.39,540.0,已完成,5,2026-09-09,565.0,0.0462962962962962,0.1,0.0046296296296296,2026-09-09
2026-09-02,7,3131,弘塑,CoWoS,63.41,2405.0,已完成,5,2026-09-09,2555.0,0.0623700623700622,0.1,0.0062370062370062,2026-09-09
2026-09-02,8,3675,德微,功率元件,63.39,274.0,已完成,5,2026-09-09,271.5,-0.0091240875912408,0.1,-0.000912408759124,2026-09-09
2026-09-02,9,8261,富鼎,功率元件,63.27,177.0,已完成,5,2026-09-09,170.5,-0.0367231638418079,0.1,-0.0036723163841807,2026-09-09
2026-09-02,10,8039,台虹,CCL,60.68,313.5,已完成,5,2026-09-09,289.5,-0.0765550239234449,0.1,-0.0076555023923444,2026-09-09
2026-09-03,1,5475,德宏,玻纖布,77.96,182.5,已完成,5,2026-09-10,184.5,0.0109589041095889,0.1,0.0010958904109588,2026-09-10
2026-09-03,2,6173,信昌電,被動元件,72.57,241.0,已完成,5,2026-09-10,295.0,0.2240663900414938,0.1,0.0224066390041493,2026-09-10
2026-09-03,3,4979,華星光,光通訊,71.55,572.0,已完成,5,2026-09-10,571.0,-0.0017482517482517,0.1,-0.0001748251748251,2026-09-10
2026-09-03,4,2492,華新科,被動元件,70.28,271.5,已完成,5,2026-09-10,334.0,0.2302025782688765,0.1,0.0230202578268876,2026-09-10
2026-09-03,5,2327,國巨,被動元件,69.75,511.0,已完成,5,2026-09-10,572.0,0.1193737769080234,0.1,0.0119373776908023,2026-09-10
2026-09-03,6,3406,玉晶光,FAU,68.24,991.0,已完成,5,2026-09-10,1070.0,0.0797174571140262,0.1,0.0079717457114026,2026-09-10
2026-09-03,7,3008,大立光,FAU,67.19,7150.0,已完成,5,2026-09-10,6720.0,-0.0601398601398601,0.1,-0.006013986013986,2026-09-10
2026-09-03,8,2351,順德,導線架,66.99,223.0,已完成,5,2026-09-10,235.5,0.0560538116591928,0.1,0.0056053811659192,2026-09-10
2026-09-03,9,3450,聯鈞,光通訊,66.57,554.0,已完成,5,2026-09-10,523.0,-0.055956678700361,0.1,-0.0055956678700361,2026-09-10
