date,Portfolio_Gross_Return,Portfolio_Net_Return,Target_Hit_Rate,Average_AI_Score,Stock_Count,Gross_Equity,Net_Equity,Running_Max,Drawdown
2022-02-07,0.010038320741911489,0.00403832074191149,0.4,0.73595417,5,1.0324450724421093,0.8164102042508353,1.0731998230964828,-0.23927474951005612
2022-02-14,0.007360767192451223,0.0013607671924512233,0.8,0.76481736,5,1.040044660259349,0.8175211484723622,1.0731998230964828,-0.23823957954672015
2022-02-21,0.0073139727180262515,0.001313972718026253,0.4,0.6700066,5,1.0476515185300146,0.8185953489578645,1.0731998230964828,-0.23723864713657228
2022-03-01,-0.06045599428377093,-0.06645599428377094,0.0,0.65713483,5,0.9843147043143801,0.7641947811267992,1.0731998230964828,-0.28792871124234565
2022-03-08,-0.05333332252267422,-0.059333322522674224,0.2,0.85718966,5,0.9318179307253706,0.7188525657080583,1.0731998230964828,-0.33017826667733985
2022-03-15,0.0922571520205635,0.0862571520205635,1.0,0.83318776,5,1.017784799215788,0.7808587407487104,1.0731998230964828,-0.2724013515994498
2022-03-22,-0.013189353954440052,-0.019189353954440054,0.0,0.65585655,5,1.0043608752494821,0.765874565984065,1.0731998230964828,-0.2863634996003802
2022-03-29,-0.020802801303681638,-0.026802801303681643,0.2,0.7734782,5,0.9834673555244754,0.7453469821684507,1.0731998230964828,-0.3054909569236459
2022-04-07,-0.02134586742214071,-0.027345867422140707,0.2,0.7662422,5,0.9624743917394466,0.7249648224105796,1.0731998230964828,-0.3244829091390897
2022-04-14,-0.002626395830129846,-0.008626395830129847,0.4,0.7022556,5,0.9599465530103753,0.7187109888895462,1.0731998230964828,-0.3303101869548737
2022-04-21,-0.09194583079214162,-0.09794583079214163,0.0,0.6609624,5,0.8716834696777838,0.648316243983318,1.0731998230964828,-0.39590351206661245
2022-04-28,0.08491250099970474,0.07891250099970473,0.6,0.8483008,5,0.9457002931682247,0.6994765002347764,1.0731998230964828,-0.34823274735865095
2022-05-06,0.008915961818614603,0.0029159618186145988,0.2,0.73485196,5,0.9541321208739652,0.7015161470024791,1.0731998230964828,-0.3463322189353255
2022-05-13,0.052731070056619166,0.04673107005661917,1.0,0.76084816,5,1.004444528583041,0.7342987472139015,1.0731998230964828,-0.3157856240646374
2022-05-20,-0.004272946346294848,-0.010272946346294849,0.4,0.66845626,5,1.0001525910045763,0.7267553355816216,1.0731998230964828,-0.32281452163798496
2022-05-27,0.06264967062759577,0.05664967062759576,0.6,0.6104734,5,1.0628118214083495,0.7679257859691684,1.0731998230964828,-0.2844521873349859
2022-06-06,-0.02888636781121092,-0.03488636781121092,0.2,0.63389987,5,1.032111048221045,0.7411356445481347,1.0731998230964828,-0.30941505151412496
2022-06-13,-0.0940331834786895,-0.1000331834786895,0.0,0.627116,5,0.9350583606532928,0.6669974866344544,1.0731998230964828,-0.3784964623736339
2022-06-20,0.05720481631959773,0.051204816319597724,1.0,0.732378,5,0.9885482024225686,0.701150970423205,1.0731998230964828,-0.3466724878874956
2022-06-27,-0.12312528690844653,-0.12912528690844655,0.0,0.7694074,5,0.8668329213764608,0.6106146502011729,1.0731998230964828,-0.4310335903342043
2022-07-04,0.026158109356311198,0.0201581093563112,0.6,0.79644716,5,0.889507631727477,0.6229234870944939,1.0731998230964828,-0.41956430322809346
2022-07-11,0.11317623919522038,0.10717623919522037,1.0,0.88385284,5,0.99017876022184,0.6896860837476542,1.0731998230964828,-0.35735538815342305
2022-07-18,0.06364693836008166,0.057646938360081654,0.8,0.8172811,5,1.0532006067391417,0.7294443749052614,1.0731998230964828,-0.3203088938268648
2022-07-25,-0.05734925293310276,-0.06334925293310276,0.0,0.79174006,5,0.9928003387539613,0.6832346186987589,1.0731998230964828,-0.3633668176282072
2022-08-01,0.005740609199299307,-0.00025939080070069425,0.2,0.72180617,5,0.9984996175116798,0.6830573939239482,1.0731998230964828,-0.36353195441913533
2022-08-08,0.04441146068925865,0.038411460689258645,0.6,0.6556579,5,1.0428444440230396,0.7092946261591654,1.0731998230964828,-0.33908428710633653
2022-08-15,0.04910829471058995,0.043108294710589946,0.8,0.6408806,5,1.0940567563174242,0.7398711079402723,1.0731998230964828,-0.3105933377760569
2022-08-22,-0.06341930714478965,-0.06941930714478965,0.0,0.58657306,5,1.0246724348546972,0.6885097682506108,1.0731998230964828,-0.358451470608645
2022-08-29,-0.011827749795309516,-0.017827749795309517,0.2,0.65884835,5,1.0125528656730851,0.6762351883706124,1.0731998230964828,-0.3698888372721829
2022-09-05,-0.0005961875526257598,-0.006596187552625763,0.2,0.6652539,5,1.0119491942581953,0.6717746142384345,1.0731998230964828,-0.3740451686805387
2022-09-13,-0.03582989111484436,-0.04182989111484436,0.2,0.6092041,5,0.9756911648141696,0.6436743552711243,1.0731998230964828,-0.4002287911174426
2022-09-20,-0.033975676192029215,-0.039975676192029214,0.2,0.60628086,5,0.9425413977350195,0.6179430376716926,1.0731998230964828,-0.4242050507530336
2022-09-27,0.020091301110573445,0.014091301110573445,0.2,0.67085075,5,0.9614782807660945,0.6266506590847069,1.0731998230964828,-0.4160913507452473
2022-10-04,-0.0881646693021291,-0.0941646693021291,0.0,0.7886713,5,0.8767098661011722,0.5676423070040342,1.0731998230964828,-0.47107491560497394
2022-10-12,-0.06971809339843445,-0.07571809339843445,0.0,0.7396505,5,0.8155873257730016,0.5246615137853999,1.0731998230964828,-0.5111241145459713
2022-10-19,-0.036141973100026537,-0.042141973100026535,0.2,0.8861025,5,0.7861103905841912,0.5025512423848364,1.0731998230964828,-0.5317263089600267
2022-10-26,0.0944182412246946,0.08841824122469459,0.8,0.82139903,5,0.8603335510716082,0.5469859393617889,1.0731998230964828,-0.49032237278647617
2022-11-02,0.06658895736938833,0.06058895736938832,0.8,0.7848714,5,0.91762226522737,0.5801272471234351,1.0731998230964828,-0.45944153675910504
2022-11-09,0.09904952884246043,0.09304952884246043,1.0,0.6698327,5,1.0085123182534923,0.6341078141369444,1.0731998230964828,-0.40914282644273525
2022-11-16,0.07196138625591401,0.06596138625591401,0.8,0.7363007,5,1.0810862627311792,0.6759344445931248,1.0731998230964828,-0.37016906819564677
2022-11-23,0.0741428761064066,0.0681428761064066,1.0,0.7377864,5,1.1612411075691953,0.7219945617070869,1.0731998230964828,-0.3272505770417201
2022-11-30,-0.011306421434738523,-0.017306421434738522,0.2,0.63494205,5,1.1481116262196756,0.7094994195485947,1.0731998230964828,-0.33889346207541315
