StockID,StockName,Industry,被選次數,平均AI分數,平均未來5日報酬,成本後平均報酬,達標率,選取占比
4931,新盛力,BBU,11,0.6337685,0.04875364130383717,0.042753641303837166,0.7272727272727273,0.00859375
4749,新應材,特用化學,11,0.7135216,-0.016606420273082224,-0.022606420273082226,0.2727272727272727,0.00859375
3008,大立光,FAU,10,0.6963819,-0.01620764753040722,-0.022207647530407222,0.3,0.0078125
5443,均豪,CoPoS,10,0.69898295,-0.0122010807221685,-0.0182010807221685,0.3,0.0078125
8070,長華*,導線架,10,0.60366094,0.0006687152162715426,-0.0053312847837284575,0.5,0.0078125
7788,松川精密,HVDC設備,10,0.70449704,0.03211900680625653,0.026119006806256527,0.5,0.0078125
6548,長科*,導線架,9,0.6522112,0.0030006266144695618,-0.0029993733855304384,0.3333333333333333,0.00703125
4958,臻鼎-KY,ABF／IC載板,8,0.6446999,0.012776117812391699,0.006776117812391699,0.5,0.00625
2481,強茂,功率元件,8,0.7453387,-0.0044394220247250815,-0.010439422024725082,0.25,0.00625
2345,智邦,CPO,8,0.6894192,0.02777394618151642,0.021773946181516422,0.625,0.00625
4772,台特化,特用化學,8,0.6345901,0.05143911950301652,0.04543911950301652,0.375,0.00625
6197,佳必琪,連接元件,8,0.58642375,-0.017039890399892982,-0.02303989039989298,0.125,0.00625
2492,華新科,被動元件,8,0.7094924,0.017544967800944306,0.0115449678009443,0.25,0.00625
6282,康舒,HVDC設備,7,0.6082725,-0.004302472940364439,-0.01030247294036444,0.5714285714285714,0.00546875
1717,長興,特用化學,7,0.6284086,0.05793952030068469,0.05193952030068468,0.7142857142857143,0.00546875
2327,國巨,被動元件,7,0.62644166,-0.015160006954293124,-0.021160006954293126,0.42857142857142855,0.00546875
3583,辛耘,CoWoS,7,0.6253143,0.01704750821114422,0.011047508211144216,0.5714285714285714,0.00546875
8261,富鼎,功率元件,6,0.779231,0.029414985397297422,0.023414985397297416,0.6666666666666666,0.0046875
8039,台虹,CCL,6,0.6533373,0.002748416911296292,-0.0032515830887037077,0.16666666666666666,0.0046875
6173,信昌電,被動元件,6,0.63018817,0.06881384706206767,0.06281384706206766,0.6666666666666666,0.0046875
6257,矽格,先進封裝,6,0.64302295,0.021374890934142687,0.015374890934142687,0.5,0.0046875
2308,台達電,HVDC設備,5,0.6502398,0.02353507501720169,0.01753507501720169,0.6,0.00390625
3026,禾伸堂,被動元件,5,0.6347953,0.1575859112578114,0.1515859112578114,0.4,0.00390625
2467,志聖,CoWoS,5,0.6271347,0.016988277329631395,0.010988277329631393,0.4,0.00390625
6223,旺矽,探針／測試介面,5,0.7156775,-0.022904394367965163,-0.02890439436796517,0.6,0.00390625
3605,宏致,連接元件,5,0.67343366,0.0228338731227967,0.0168338731227967,0.8,0.00390625
1773,勝一,特用化學,4,0.58169484,-0.005061755012561425,-0.011061755012561425,0.25,0.003125
4755,三福化,特用化學,4,0.6551299,-0.0356339033024313,-0.0416339033024313,0.25,0.003125
6435,大中,功率元件,4,0.76517344,-0.034538678748818524,-0.04053867874881852,0.25,0.003125
2330,台積電,先進封裝,3,0.62270594,-0.03925288857437781,-0.045252888574377814,0.0,0.00234375
2328,廣宇,連接元件,3,0.7585551,-0.024289998750684678,-0.03028999875068468,0.3333333333333333,0.00234375
6279,胡連,連接元件,3,0.5978376,-0.021742366854658062,-0.02774236685465806,0.3333333333333333,0.00234375
