date,Model,Fold,Stock_Count,Gross_Return,Trading_Cost,Net_Return,Mean_Probability,Net_Equity,Running_Max_Equity,Drawdown
2021-08-13,Random Forest,1,5,-0.05539170623861547,0.006,-0.061391706238615465,0.7726705933594833,0.8868059241310813,1.0361494475113675,-0.1441331882567527
2021-08-20,Random Forest,1,5,0.05676238869111021,0.006,0.05076238869111021,0.7484701483523075,0.9318223111454024,1.0361494475113675,-0.10068734449122074
2021-08-27,Random Forest,1,5,0.03372166025449395,0.006,0.02772166025449395,0.5781427326569498,0.9576539726725325,1.0361494475113675,-0.07575690459263973
2021-09-03,Random Forest,1,5,-0.0458268357455117,0.006,-0.051826835745511696,0.6405302095151038,0.9080217975297964,1.0361494475113675,-0.12365749968724027
2021-09-10,Random Forest,1,5,-0.015306254276294817,0.006,-0.021306254276294817,0.6353988419706887,0.8886752542232083,1.0361494475113675,-0.14232907583202792
2021-09-17,Random Forest,1,5,-0.0024142595417535827,0.006,-0.008414259541753583,0.6570060883769974,0.8811977099858403,1.0361494475113675,-0.14954574158939282
2021-09-28,Random Forest,1,5,-0.05986644207524654,0.006,-0.06586644207524654,0.6953132192453836,0.8231563520642181,1.0361494475113675,-0.20556213773864185
2021-10-05,Random Forest,1,5,0.018983375979976104,0.006,0.012983375979976104,0.7524588314335178,0.8338437004733733,1.0361494475113675,-0.19524765228017427
2021-10-13,Random Forest,1,5,0.10439926773390144,0.006,0.09839926773390144,0.782345658204856,0.9158933100044798,1.0361494475113675,-0.11606061055740546
2021-10-20,Random Forest,1,5,0.022650625137030644,0.006,0.016650625137030646,0.6127908730212741,0.9311435061748786,1.0361494475113675,-0.1013424671399411
2021-10-27,Random Forest,1,5,0.031229671150362303,0.006,0.0252296711503623,0.6359783368116556,0.9546359506294662,1.0361494475113675,-0.07866963310908592
2021-11-03,Random Forest,1,5,0.01994619002390996,0.006,0.01394619002390996,0.6358926301004073,0.9679494850006006,1.0361494475113675,-0.06582058473762653
2021-11-10,Random Forest,1,5,0.011867422677758399,0.006,0.005867422677758399,0.6204696367947447,0.9736288537598178,1.0361494475113675,-0.060339359251420976
2021-11-17,Random Forest,1,5,-0.0039040393981471856,0.006,-0.009904039398147185,0.5542728528186914,0.9639859952330077,1.0361494475113675,-0.06964579525828307
2021-11-24,Random Forest,1,5,-0.01023176484670174,0.006,-0.01623176484670174,0.5858686153696865,0.9483388012428717,1.0361494475113675,-0.08474708593379088
2021-12-01,Random Forest,1,5,0.009020776208543867,0.006,0.0030207762085438673,0.5811880797856122,0.9512035205313053,1.0361494475113675,-0.08198231170617909
2021-12-08,Random Forest,1,5,-0.014869514075830193,0.006,-0.020869514075830195,0.5923781181120628,0.9313523652705981,1.0361494475113675,-0.10114089477388799
2021-12-15,Random Forest,1,5,0.023163337034928767,0.006,0.01716333703492877,0.6244679836374233,0.9473374798140153,1.0361494475113675,-0.08571347300397791
2021-12-22,Random Forest,1,5,0.027145079719140687,0.006,0.02114507971914069,0.5705448264578793,0.9673690063456124,1.0361494475113675,-0.0663808115045108
2021-12-29,Random Forest,1,5,0.014868884783375936,0.006,0.008868884783375936,0.5429507432391087,0.9759484906059006,1.0361494475113675,-0.058100650490195305
2022-01-06,Random Forest,1,5,-0.06852040154871364,0.006,-0.07452040154871364,0.625838386826582,0.9032204171950879,1.0361494475113675,-0.12829136823413811
2022-01-13,Random Forest,1,5,-0.006607253330749652,0.006,-0.012607253330749652,0.7407457881372278,0.8918332885820041,1.0361494475113675,-0.13928121978541153
2022-01-20,Random Forest,1,5,-0.06415960715300376,0.006,-0.07015960715300376,0.6065789042920218,0.8292626154091193,1.0361494475113675,-0.1996689112744795
2022-02-07,Random Forest,1,5,0.03535644236048332,0.006,0.02935644236048332,0.6763938685674733,0.8536068155800807,1.0361494475113675,-0.17617403779900598
2022-02-14,Random Forest,1,5,0.009370392563543484,0.006,0.0033703925635434843,0.6912808213550018,0.8564838056435019,1.0361494475113675,-0.17339742090234966
2022-02-21,Random Forest,1,5,0.0001573087873854684,0.006,-0.005842691212614532,0.5815583904464248,0.851479635238522,1.0361494475113675,-0.1782270045275679
2022-03-01,Random Forest,1,5,-0.06327872545897284,0.006,-0.06927872545897285,0.6099515337831412,0.792490211354926,1.0361494475113675,-0.23515839027050034
2022-03-08,Random Forest,1,5,-0.028921516980047034,0.006,-0.034921516980047036,0.8047455382259464,0.7648152509825739,1.0361494475113675,-0.2618678195317157
2022-03-15,Random Forest,1,5,0.0922571520205635,0.006,0.0862571520205635,0.7878065174512248,0.8307860363542232,1.0361494475113675,-0.1981986398297928
2022-03-22,Random Forest,1,5,-0.010768047190405916,0.006,-0.016768047190405914,0.5810548546981151,0.8168553768915053,1.0361494475113675,-0.21164328287445844
2022-03-29,Random Forest,1,5,-0.0208540508801623,0.006,-0.0268540508801623,0.6725238232418865,0.7949195010387267,1.0361494475113675,-0.2328138542678655
2022-04-07,Random Forest,1,5,-0.036204204147822015,0.006,-0.042204204147822014,0.7000447982590513,0.7613705561358034,1.0361494475113675,-0.26519233498172523
2022-04-14,Random Forest,1,5,-0.001910440757430565,0.006,-0.007910440757430566,0.6386655660435071,0.7553477794570392,1.0361494475113675,-0.27100498748395807
2022-04-21,Random Forest,1,5,-0.0822657977867494,0.006,-0.08826579778674941,0.5869445494422687,0.688676405096814,1.0361494475113675,-0.3353503138462479
2022-04-28,Random Forest,1,5,0.08995367169355233,0.006,0.08395367169355232,0.7831540907381067,0.7464933179134078,1.0361494475113675,-0.2795505323036732
2022-05-06,Random Forest,1,5,0.012534433027343672,0.006,0.006534433027343672,0.6893626181347992,0.7513712285046724,1.0361494475113675,-0.2748428035074263
2022-05-13,Random Forest,1,5,0.05471768357077274,0.006,0.04871768357077274,0.703953108481896,0.7879762942591458,1.0361494475113675,-0.23951482466963236
2022-05-16,Random Forest,2,5,0.06230465823424436,0.006,0.05630465823424436,0.6024932891888699,0.8323430302040934,1.0361494475113675,-0.19669596678044665
2022-05-23,Random Forest,2,5,-0.003306478179945138,0.006,-0.009306478179945139,0.6016574382448441,0.8245968479552696,1.0361494475113675,-0.2041718982374664
2022-05-30,Random Forest,2,5,0.019950821170249666,0.006,0.013950821170249665,0.5634429982463536,0.8361006511186451,1.0361494475113675,-0.19306944270751802
2022-06-07,Random Forest,2,5,0.0037036247534435462,0.006,-0.002296375246556454,0.5617330512433641,0.8341806502797865,1.0361494475113675,-0.19492245806497444
2022-06-14,Random Forest,2,5,-0.03598203607633761,0.006,-0.04198203607633761,0.5610829600676335,0.7991600481255577,1.0361494475113675,-0.22872125247473996
2022-06-21,Random Forest,2,5,0.005369481597102777,0.006,-0.0006305184028972234,0.6718371079629121,0.7986561630083544,1.0361494475113675,-0.22920755791881808
2022-06-28,Random Forest,2,5,-0.1195486774862606,0.006,-0.12554867748626058,0.7416680843229082,0.6983859379764041,1.0361494475113675,-0.3259795296385156
2022-07-05,Random Forest,2,5,-0.04068092481331072,0.006,-0.046680924813310716,0.8075059494235436,0.6657846365150542,1.0361494475113675,-0.3574434285380923
2022-07-12,Random Forest,2,5,0.14567361001800433,0.006,0.13967361001800432,0.8368850338623647,0.7587771801916365,1.0361494475113675,-0.26769523256121597
2022-07-19,Random Forest,2,5,-0.010960187649071428,0.006,-0.01696018764907143,0.7444430574441536,0.745908176831753,1.0361494475113675,-0.2801152588332875
2022-07-26,Random Forest,2,5,-0.011793779291191474,0.006,-0.017793779291191476,0.7630043537147086,0.7326356513617137,1.0361494475113675,-0.2929247290327045
2022-08-02,Random Forest,2,5,-0.01753394810517519,0.006,-0.023533948105175187,0.6841834710898616,0.715393841962566,1.0361494475113675,-0.30956500176610147
2022-08-09,Random Forest,2,5,0.0720562020703864,0.006,0.0660562020703864,0.6092868403397265,0.7626500421471553,1.0361494475113675,-0.26395748800629626
2022-08-16,Random Forest,2,5,0.008770977085560294,0.006,0.002770977085560294,0.5822003599057197,0.7647633279382468,1.0361494475113675,-0.26191793107156336
2022-08-23,Random Forest,2,5,0.010020421298231086,0.006,0.004020421298231085,0.6113681806831173,0.7678379987099958,1.0361494475113675,-0.2589505302018009
2022-08-30,Random Forest,2,5,-0.09518698050199861,0.006,-0.10118698050199862,0.5521864731407282,0.6901427901058338,1.0361494475113675,-0.3339350884532877
2022-09-06,Random Forest,2,5,0.008046148907331619,0.006,0.002046148907331619,0.5789101173479644,0.6915549250217116,1.0361494475113675,-0.3325722204623146
2022-09-14,Random Forest,2,5,-0.04666977673937815,0.006,-0.05266977673937815,0.5863328361988643,0.6551308815178006,1.0361494475113675,-0.36772549260022336
2022-09-21,Random Forest,2,5,-0.0973757204228953,0.006,-0.1033757204228953,0.5994667114836756,0.5874062546696115,1.0361494475113675,-0.43308732530770655
2022-09-28,Random Forest,2,5,0.08017673181587197,0.006,0.07417673181587196,0.7120831733266971,0.6309781308892051,1.0361494475113675,-0.3910355958740376
2022-10-05,Random Forest,2,5,-0.1354483136499573,0.006,-0.1414483136499573,0.7061096535052812,0.5417273383249249,1.0361494475113675,-0.4771725839105061
2022-10-13,Random Forest,2,5,-0.022037160861131343,0.006,-0.028037160861131345,0.7268198501765004,0.5265388417974365,1.0361494475113675,-0.49183118027801687
2022-10-20,Random Forest,2,5,0.015467115111639184,0.006,0.009467115111639184,0.8323498411957262,0.531523645623482,1.0361494475113675,-0.48702028756556315
2022-10-27,Random Forest,2,5,0.08748807362794526,0.006,0.08148807362794526,0.7352186261477963,0.5748364835930422,1.0361494475113675,-0.4452185589890635
2022-11-03,Random Forest,2,5,0.008159308758112526,0.006,0.0021593087581125263,0.7145899653418282,0.5760777330465472,1.0361494475113675,-0.44402061456465036
2022-11-10,Random Forest,2,5,0.07371601806812204,0.006,0.06771601806812204,0.6715901132868236,0.6150874232261699,1.0361494475113675,-0.4063719044550068
2022-11-17,Random Forest,2,5,0.0033263837898150684,0.006,-0.0026736162101849317,0.6806885316148747,0.6134429155207516,1.0361494475113675,-0.4079590381540771
2022-11-24,Random Forest,2,5,0.04801993118288998,0.006,0.042019931182889984,0.6176247903904931,0.639219744615565,1.0361494475113675,-0.38308151767985943
2022-12-01,Random Forest,2,5,0.006774693050655811,0.006,0.000774693050655811,0.6021615053307985,0.6397149437095606,1.0361494475113675,-0.38260359521878495
2022-12-08,Random Forest,2,5,-0.007886819489389763,0.006,-0.013886819489389763,0.5941242928908161,0.6308313377616008,1.0361494475113675,-0.39117726764537986
2022-12-15,Random Forest,2,5,-0.0688177109106964,0.006,-0.0748177109106964,0.5452163325442376,0.5836339810995455,1.0361494475113675,-0.43672799083054814
2022-12-22,Random Forest,2,5,-0.025854671735019007,0.006,-0.031854671735019005,0.5779828969182115,0.5650425122182171,1.0361494475113675,-0.45467083578016565
2022-12-29,Random Forest,2,5,0.04505316516496971,0.006,0.03905316516496971,0.6410575693895577,0.5871092107731045,1.0361494475113675,-0.4333740058606137
2023-01-06,Random Forest,2,5,0.012364971390690016,0.006,0.006364971390690016,0.5765744180528785,0.5908461441028858,1.0361494475113675,-0.42976744761869523
2023-01-13,Random Forest,2,5,0.08026463400232538,0.006,0.07426463400232537,0.5496866527760049,0.6347251167463719,1.0361494475113675,-0.38741933581988575
2023-02-01,Random Forest,2,5,0.08179127988479211,0.006,0.0757912798847921,0.5257130425197871,0.6828317457196036,1.0361494475113675,-0.34099106324899886
2023-02-08,Random Forest,2,5,-0.008797965184197353,0.006,-0.014797965184197353,0.5272356751516638,0.6727272253197801,1.0361494475113675,-0.3507430545511151
2023-02-15,Random Forest,2,5,0.03718779784739159,0.006,0.03118779784739159,0.5262665619077959,0.6937081060294901,1.0361494475113675,-0.3304941601854404
2023-02-22,Random Forest,2,5,0.04318487514770708,0.006,0.03718487514770708,0.5320126729486743,0.719503555341149,1.0361494475113675,-0.3055986691212752
2023-03-03,Random Forest,2,5,0.04074335863559144,0.006,0.03474335863559144,0.5192130924817181,0.7445015254039495,1.0361494475113675,-0.28147283464552375
2023-03-10,Random Forest,2,5,-0.024046714706244376,0.006,-0.030046714706244378,0.5283987245381361,0.7221317004717733,1.0361494475113675,-0.30306221539161615
2023-03-17,Random Forest,2,5,0.02934897392914344,0.006,0.023348973929143438,0.5427459569395993,0.7389927347194968,1.0361494475113675,-0.2867894332285601
2023-03-24,Random Forest,2,5,0.02278640091576296,0.006,0.01678640091576296,0.5200746233616114,0.7513977630383344,1.0361494475113675,-0.2748171947173761
2023-03-31,Random Forest,2,5,0.011481016814775823,0.006,0.005481016814775823,0.5357983872023955,0.7555161868121325,1.0361494475113675,-0.2708424555678356
2023-04-12,Random Forest,2,5,-0.0277238236431675,0.006,-0.0337238236431675,0.5169674936509359,0.7300372921685218,1.0361494475113675,-0.295432436004351
2023-04-19,Random Forest,2,5,-0.03903276444530144,0.006,-0.04503276444530144,0.5615052773694398,0.697161694754011,1.0361494475113675,-0.3271610611495669
2023-04-26,Random Forest,2,5,0.032649783119764055,0.006,0.026649783119764056,0.598845617895382,0.7157409027186126,1.0361494475113675,-0.3092300493546707
2023-05-04,Random Forest,2,5,-0.028947756600435005,0.006,-0.034947756600435004,0.6103972103698643,0.6907273638614269,1.0361494475113675,-0.3333709094567182
